Key,Heidesleutel,,,,,,
Titel,Veldsleutel voor Heide,,,,,,
Versie,versie2_20230731,,,,,,
Auteurs,xxyy,,,,,,
STEP,TYPE,NAME,NEXT_STEP,CLASSIFICATION,BWK_CODE,SUBKEY,REMARK
22,A,"Op drogere bodem, dwergstruiken gedomineerd door struikhei en typische natte heidesoorten (veenpluis, beenbreek, zonnedauw, witte snavelbies, klokjesgentiaan of veenbies) < frequent",,4030,cm + cg,,
22,A,"Op natte bodem en dwergstruiken gedomineerd door gewone dophei, de typische natte heidesoorten (veenpluis, beenbreek, zonnedauw, witte snavelbies, klokjesgentiaan of veenbies) of andere vochtindicatoren (bijv. veenmossen, blauwe zegge, bruine snavelbies, pitrus ..)  ≥ frequent",,4010,cm + ce,,
22,A,"Op natte bodem met abundant bultvormende veenmossen (S. papillosum, S. magellanicum, S. rubellum); kleine veenbes, lavendelhei of eenarig wollegras kunnen aanwezig zijn",,7140_oli,cm + ces,,andere veenmossoorten zoals S. fallax en S. auriculatum zijn dan meestal ook abundant aanwezig
22,A,Rode bosbes frequent aanwezig,28,,,,
22,A,Dwergstruiken gedomineerd door blauwe bosbes,28,,,,
23,Q,,,,,,
23,A,"Pijpenstrootje in de grasmat niet pollenvormend, weinig strooisel en aandeel heischrale soorten zoals tandjesgras, borstelgras, tormentil, liggende vleugeltjesbloem, heidekartelblad, trekrus, stekelbrem, gevlekte orchis, tweenervige zegge > aandeel typische soorten natte heide: gewone dophei, veenpluis, beenbreek, zonnedauw, witte snavelbies, klokjesgentiaan of veenbies",SLEUTEL,,,GRASLAND_HT6230,
23,A,Anders,27,,,,
24,Q,,,,,,
24,A,"Op profielloos landduin of met frequent typische soorten van binnenlands (stuif)duin (korstmossen, ruig haarmos, buntgras, zandzegge, klein tasjeskruid, vroege haver)",25,,,,
24,A,"Met ≥ 20% gewone dophei, beenbreek, veenpluis, veenbies, snavelbiezen en/of zonnedauw",,4010,cm+ce,,indien permanent natte slenken met snavelbies-vegetaties: aandeel 7150 toevoegen (zie 21)
